Loop Gain Phase X,Loop Gain Phase Y
54.03476503583534,178.3954650259193
55.28079211966514,178.3584848935624
56.55555225142449,178.3206534248708
57.85970800743622,178.2819510883399
59.19393724285413,178.2423579091577
60.55893344398875,178.2018534594401
61.95540608875759,178.160416848377
63.38408101544725,178.1180267120714
64.84570079997914,178.0746612032975
66.34102514187481,178.0302979809534
67.87083125912152,177.984914199379
69.43591429214335,177.9384864975629
71.03708771708776,177.8909909879132
72.67518376864238,177.8424032450887
74.35105387260194,177.7926982944892
76.06556908840994,177.7418506005304
77.81962056190535,177.6898340548125
79.61411998850942,177.6366219640374
81.4500000870935,177.5821870376712
83.32821508477417,177.5265013755126
85.24974121288751,177.4695364550338
87.21557721440047,177.4112631184211
89.22674486302299,177.3516515595958
91.28428949429073,177.2906713109193
93.38928054889442,177.2282912297317
